,Side0_UniqueIds,Side1_UniqueIds,BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment,first_non_null_breakid_in_breakid_columns
0,102_4551144082_Integrata,,1659707002,OB,UCB,Close,Close,,1659707002
1,6_455922111_Integrata,,1367056765,OB,UCB,Close,Close,,1367056765
2,2_4551488502_Integrata,,2118874467,OB,UCB,Close,Close,,2118874467
3,4_455922111_Integrata,,1367056768,OB,UCB,Close,Close,,1367056768
4,5_4551464617_Integrata,,2086488712,OB,UCB,Close,Close,,2086488712
5,2_455922111_Integrata,,1367056764,OB,UCB,Close,Close,,1367056764
6,4_4551488502_Integrata,,2118874468,OB,UCB,Close,Close,,2118874468
7,5_4551488502_Integrata,,2118874469,OB,UCB,Close,Close,,2118874469
8,19_4551488502_Integrata,,2118874472,OB,UCB,Close,Close,,2118874472
9,4_4551464617_Integrata,,2086488710,OB,UCB,Close,Close,,2086488710
10,101_4551144082_Integrata,,1659706999,OB,UCB,Close,Close,,1659706999
11,5_455922111_Integrata,,1367056769,OB,UCB,Close,Close,,1367056769
12,20_4551488502_Integrata,,2118874470,OB,UCB,Close,Close,,2118874470
13,6_4551488502_Integrata,,2118874471,OB,UCB,Close,Close,,2118874471
14,,2_4551318931_CACEIS,1890812360,OB,UCB,Close,Close,,1890812360
15,,8_4551267661_CACEIS,1824870500,OB,UCB,Close,Close,,1824870500
16,,24_455658450_CACEIS,1002374606,OB,UCB,Close,Close,,1002374606
17,,26_455658450_CACEIS,1002374597,OB,UCB,Close,Close,,1002374597
18,14_4551488502_Integrata,,2118874270,CMF,UCB,Close,Close,,2118874270
19,13_4551488502_Integrata,,2118874268,CMF,UCB,Close,Close,,2118874268
20,10_4551488502_Integrata,,2118874267,CMF,UCB,Close,Close,,2118874267
21,15_4551488502_Integrata,,2118874273,CMF,UCB,Close,Close,,2118874273
22,12_4551488502_Integrata,,2118874271,CMF,UCB,Close,Close,,2118874271
23,11_4551488502_Integrata,,2118874266,CMF,UCB,Close,Close,,2118874266
24,"9_4551478593_Integrata,10_4551478593_Integrata",177_4551480567_CACEIS,"2105698933,2105698943,2108620867","['OB', 'OB', 'OB']",UMR,UMR,match,match,2105698933
25,7_4551122535_Integrata,"93_4551117124_CACEIS,94_4551117124_CACEIS","1631194828,1623224424,1623224429","['OB', 'OB', 'OB']",UMR,UMR,match,match,1631194828
26,"6_4551394628_Integrata,5_4551394628_Integrata,7_4551394628_Integrata,3_4551394628_Integrata,4_4551394628_Integrata",2_4551398589_CACEIS,"1997244525,1997244526,1997244529,1997244524,1997244527,2002008738","['OB', 'OB', 'OB', 'OB', 'OB', 'OB']",UMR,UMR,match,match,1997244525
27,"47_4551201062_Integrata,46_4551201062_Integrata",34_4551201062_CACEIS,"1734565912,1734565910,1734565919","['OB', 'OB', 'OB']",UMR,UMR,match,match,1734565912
28,"19_4551248485_Integrata,20_4551248485_Integrata",33_4551248485_CACEIS,"1800039341,1800039344,1800039361","['OB', 'OB', 'OB']",UMR,UMR,match,match,1800039341
29,10_4551203153_Integrata,,1737813332,OB,UCB,Close,Close,,1737813332
30,6_4551464617_Integrata,,2086488714,OB,UCB,Close,Close,,2086488714
31,6_4551203153_Integrata,,1737813326,OB,UCB,Close,Close,,1737813326
32,10_4551460499_Integrata,,2080567633,OB,UCB,Close,Close,,2080567633
33,3_4551203153_Integrata,,1737813331,OB,UCB,Close,Close,,1737813331
34,3_4551460499_Integrata,,2080567637,OB,UCB,Close,Close,,2080567637
35,9_4551464617_Integrata,,2086488715,OB,UCB,Close,Close,,2086488715
36,1_4551203153_Integrata,,1737813324,OB,UCB,Close,Close,,1737813324
37,1_4551460499_Integrata,,2080567634,OB,UCB,Close,Close,,2080567634
38,2_4551460499_Integrata,,2080567635,OB,UCB,Close,Close,,2080567635
39,9_4551203153_Integrata,,1737813341,OB,UCB,Close,Close,,1737813341
40,7_4551203153_Integrata,,1737813339,OB,UCB,Close,Close,,1737813339
41,,21_4551402499_CACEIS,2006719920,OB,UCB,Close,Close,,2006719920
42,,24_4551157661_CACEIS,1677770272,OB,UCB,Close,Close,,1677770272
43,,22_4551402499_CACEIS,2006719923,OB,UCB,Close,Close,,2006719923
44,,9_4551402499_CACEIS,2006719922,OB,UCB,Close,Close,,2006719922
45,,17_4551279353_CACEIS,1839901571,OB,UCB,Close,Close,,1839901571
46,,26_4551285256_CACEIS,1847792963,OB,UCB,Close,Close,,1847792963
47,,19_4551285256_CACEIS,1847792958,OB,UCB,Close,Close,,1847792958
48,,14_455914788_CACEIS,1356802610,OB,UCB,Close,Close,,1356802610
49,,16_4551279353_CACEIS,1839901569,OB,UCB,Close,Close,,1839901569
50,,20_4551402499_CACEIS,2006719928,OB,UCB,Close,Close,,2006719928
51,,24_4551402499_CACEIS,2006719929,OB,UCB,Close,Close,,2006719929
52,,25_4551285256_CACEIS,1847792960,OB,UCB,Close,Close,,1847792960
53,,6_4551157661_CACEIS,1677770259,OB,UCB,Close,Close,,1677770259
