,Side0_UniqueIds,Side1_UniqueIds,BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment,custodian_val_to_use_comgen
0,44_2491400081_Integrata,,1859772797,OB,UCB,Close,Close,,UBS
1,44_2491400067_Integrata,,1859769610,OB,UCB,Close,Close,,UBS
2,3_2491400067_Integrata,,1859769354,OB,UCB,Close,Close,,UBS
3,3_2491400081_Integrata,,1859772553,OB,UCB,Close,Close,,UBS
4,,70_2491400081_UBS,1859772800,OB,UCB,Close,Close,,UBS
5,,184_2491400081_UBS,1859772824,OB,UCB,Close,Close,,UBS
6,,239_2491400067_UBS,1859769377,OB,UCB,Close,Close,,UBS
7,,239_2491400081_UBS,1859772576,OB,UCB,Close,Close,,UBS
8,,225_2491400081_UBS,1859772819,OB,UCB,Close,Close,,UBS
9,,225_2491400067_UBS,1859769625,OB,UCB,Close,Close,,UBS
10,,181_2491400067_UBS,1859769624,OB,UCB,Close,Close,,UBS
11,,181_2491400081_UBS,1859772798,OB,UCB,Close,Close,,UBS
12,,72_2491400081_UBS,1859772808,OB,UCB,Close,Close,,UBS
13,,72_2491400067_UBS,1859769609,OB,UCB,Close,Close,,UBS
14,,85_2491400067_UBS,1859769375,OB,UCB,Close,Close,,UBS
15,,179_2491400067_UBS,1859769611,OB,UCB,Close,Close,,UBS
16,,179_2491400081_UBS,1859772804,OB,UCB,Close,Close,,UBS
17,,85_2491400081_UBS,1859772566,OB,UCB,Close,Close,,UBS
18,,228_2491400081_UBS,1859772820,OB,UCB,Close,Close,,UBS
19,,76_2491400081_UBS,1859772826,OB,UCB,Close,Close,,UBS
20,,228_2491400067_UBS,1859769630,OB,UCB,Close,Close,,UBS
21,,76_2491400067_UBS,1859769613,OB,UCB,Close,Close,,UBS
22,,234_2491400067_UBS,1859769360,OB,UCB,Close,Close,,UBS
23,,196_2491400067_UBS,1859769363,OB,UCB,Close,Close,,UBS
24,,234_2491400081_UBS,1859772574,OB,UCB,Close,Close,,UBS
25,,196_2491400081_UBS,1859772561,OB,UCB,Close,Close,,UBS
26,,230_2491400081_UBS,1859772829,OB,UCB,Close,Close,,UBS
27,,230_2491400067_UBS,1859769632,OB,UCB,Close,Close,,UBS
28,,77_2491400067_UBS,1859769619,OB,UCB,Close,Close,,UBS
29,,77_2491400081_UBS,1859772822,OB,UCB,Close,Close,,UBS
30,,229_2491400067_UBS,1859769629,OB,UCB,Close,Close,,UBS
31,,229_2491400081_UBS,1859772811,OB,UCB,Close,Close,,UBS
32,,237_2491400067_UBS,1859769376,OB,UCB,Close,Close,,UBS
33,,70_2491400067_UBS,1859769597,OB,UCB,Close,Close,,UBS
34,,237_2491400081_UBS,1859772575,OB,UCB,Close,Close,,UBS
35,,240_2491400067_UBS,1859769374,OB,UCB,Close,Close,,UBS
36,,240_2491400081_UBS,1859772572,OB,UCB,Close,Close,,UBS
37,,84_2491400081_UBS,1859772558,OB,UCB,Close,Close,,UBS
38,,183_2491400067_UBS,1859769618,OB,UCB,Close,Close,,UBS
39,,84_2491400067_UBS,1859769358,OB,UCB,Close,Close,,UBS
40,,180_2491400067_UBS,1859769623,OB,UCB,Close,Close,,UBS
41,,80_2491400067_UBS,1859769356,OB,UCB,Close,Close,,UBS
42,,183_2491400081_UBS,1859772828,OB,UCB,Close,Close,,UBS
43,,80_2491400081_UBS,1859772555,OB,UCB,Close,Close,,UBS
44,,180_2491400081_UBS,1859772807,OB,UCB,Close,Close,,UBS
