,Side0_UniqueIds,Side1_UniqueIds,BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment,custodian_val_to_use_comgen
0,,75_2491430315_Barclays,1860081164,OB,UCB,Close,Close,,Barclays
1,,100_2491430289_Barclays,1860076114,OB,UCB,Close,Close,,Barclays
2,,81_2491430317_Barclays,1860081399,OB,UCB,Close,Close,,Barclays
3,,73_2491426018_Barclays,1859877568,OB,UCB,Close,Close,,Barclays
4,,85_2491430086_Barclays,1859922781,OB,UCB,Close,Close,,Barclays
5,,73_2491430315_Barclays,1860081141,OB,UCB,Close,Close,,Barclays
6,,82_2491430315_Barclays,1860081190,OB,UCB,Close,Close,,Barclays
7,,72_2491426018_Barclays,1859877603,OB,UCB,Close,Close,,Barclays
8,,100_2491430314_Barclays,1860081090,OB,UCB,Close,Close,,Barclays
9,,75_2491430067_Barclays,1859905406,OB,UCB,Close,Close,,Barclays
10,,75_2491430053_Barclays,1859897344,OB,UCB,Close,Close,,Barclays
11,,76_2491430053_Barclays,1859897354,OB,UCB,Close,Close,,Barclays
12,,76_2491430067_Barclays,1859905396,OB,UCB,Close,Close,,Barclays
13,,73_2491400083_Barclays,1859772987,OB,UCB,Close,Close,,Barclays
14,,74_2491400083_Barclays,1859773012,OB,UCB,Close,Close,,Barclays
15,,81_2491430086_Barclays,1859922806,OB,UCB,Close,Close,,Barclays
16,,83_2491430086_Barclays,1859922799,OB,UCB,Close,Close,,Barclays
17,,84_2491430317_Barclays,1860081442,OB,UCB,Close,Close,,Barclays
18,,86_2491430086_Barclays,1859922851,OB,UCB,Close,Close,,Barclays
19,,71_2491400031_Barclays,1859744747,OB,UCB,Close,Close,,Barclays
20,,76_2491400031_Barclays,1859744700,OB,UCB,Close,Close,,Barclays
21,,98_2491430289_Barclays,1860076101,OB,UCB,Close,Close,,Barclays
22,,76_2491430086_Barclays,1859922779,OB,UCB,Close,Close,,Barclays
23,,93_2491430314_Barclays,1860081061,OB,UCB,Close,Close,,Barclays
24,,77_2491400031_Barclays,1859744725,OB,UCB,Close,Close,,Barclays
25,,70_2491400083_Barclays,1859772969,OB,UCB,Close,Close,,Barclays
26,,80_2491430317_Barclays,1860081380,OB,UCB,Close,Close,,Barclays
27,,71_2491430067_Barclays,1859905426,OB,UCB,Close,Close,,Barclays
28,,71_2491430053_Barclays,1859897330,OB,UCB,Close,Close,,Barclays
29,,82_2491430086_Barclays,1859922826,OB,UCB,Close,Close,,Barclays
30,,84_2491430086_Barclays,1859922832,OB,UCB,Close,Close,,Barclays
31,,71_2491430086_Barclays,1859922819,OB,UCB,Close,Close,,Barclays
32,,79_2491430317_Barclays,1860081394,OB,UCB,Close,Close,,Barclays
33,,99_2491430289_Barclays,1860076108,OB,UCB,Close,Close,,Barclays
34,,79_2491430315_Barclays,1860081184,OB,UCB,Close,Close,,Barclays
35,,103_2491430314_Barclays,1860081091,OB,UCB,Close,Close,,Barclays
36,,85_2491430289_Barclays,1860076144,OB,UCB,Close,Close,,Barclays
37,,94_2491430314_Barclays,1860081085,OB,UCB,Close,Close,,Barclays
38,,69_2491400083_Barclays,1859773003,OB,UCB,Close,Close,,Barclays
39,,70_2491430053_Barclays,1859897376,OB,UCB,Close,Close,,Barclays
40,,75_2491430086_Barclays,1859922758,OB,UCB,Close,Close,,Barclays
41,,77_2491400083_Barclays,1859772957,OB,UCB,Close,Close,,Barclays
42,,70_2491430067_Barclays,1859905401,OB,UCB,Close,Close,,Barclays
43,,67_2491400083_Barclays,1859772982,OB,UCB,Close,Close,,Barclays
44,,72_2491430086_Barclays,1859922844,OB,UCB,Close,Close,,Barclays
45,,69_2491426018_Barclays,1859877560,OB,UCB,Close,Close,,Barclays
46,,83_2491430317_Barclays,1860081434,OB,UCB,Close,Close,,Barclays
47,,69_2491430086_Barclays,1859922771,OB,UCB,Close,Close,,Barclays
48,,73_2491430317_Barclays,1860081388,OB,UCB,Close,Close,,Barclays
49,,78_2491400083_Barclays,1859772973,OB,UCB,Close,Close,,Barclays
50,,69_2491430315_Barclays,1860081178,OB,UCB,Close,Close,,Barclays
51,,72_2491430317_Barclays,1860081403,OB,UCB,Close,Close,,Barclays
52,,88_2491430086_Barclays,1859922761,OB,UCB,Close,Close,,Barclays
53,,74_2491430315_Barclays,1860081157,OB,UCB,Close,Close,,Barclays
54,,68_2491400083_Barclays,1859772994,OB,UCB,Close,Close,,Barclays
55,,70_2491430086_Barclays,1859922813,OB,UCB,Close,Close,,Barclays
56,,82_2491430289_Barclays,1860076086,OB,UCB,Close,Close,,Barclays
57,,78_2491430315_Barclays,1860081171,OB,UCB,Close,Close,,Barclays
58,,80_2491430086_Barclays,1859922772,OB,UCB,Close,Close,,Barclays
59,,74_2491430317_Barclays,1860081421,OB,UCB,Close,Close,,Barclays
60,,71_2491400083_Barclays,1859772931,OB,UCB,Close,Close,,Barclays
61,,70_2491430315_Barclays,1860081197,OB,UCB,Close,Close,,Barclays
62,,97_2491430289_Barclays,1860076092,OB,UCB,Close,Close,,Barclays
63,,72_2491400083_Barclays,1859772997,OB,UCB,Close,Close,,Barclays
64,,75_2491400083_Barclays,1859772932,OB,UCB,Close,Close,,Barclays
65,,71_2491430317_Barclays,1860081384,OB,UCB,Close,Close,,Barclays
66,,76_2491400083_Barclays,1859772986,OB,UCB,Close,Close,,Barclays
67,,82_2491430317_Barclays,1860081426,OB,UCB,Close,Close,,Barclays
68,,70_2491400031_Barclays,1859744710,OB,UCB,Close,Close,,Barclays
69,,71_2491430318_Barclays,1860081520,OB,UCB,Close,Close,,Barclays
70,,70_2491430318_Barclays,1860081544,OB,UCB,Close,Close,,Barclays
71,,91_2491430318_Barclays,1860081563,OB,UCB,Close,Close,,Barclays
72,,89_2491430318_Barclays,1860081572,OB,UCB,Close,Close,,Barclays
73,,92_2491430318_Barclays,1860081580,OB,UCB,Close,Close,,Barclays
74,,93_2491430318_Barclays,1860081589,OB,UCB,Close,Close,,Barclays
75,,77_2491430053_Barclays,1859897356,OB,UCB,Close,Close,,Barclays
76,,77_2491430067_Barclays,1859905405,OB,UCB,Close,Close,,Barclays
77,,68_2491426018_Barclays,1859877556,OB,UCB,Close,Close,,Barclays
78,,78_2491430067_Barclays,1859905418,OB,UCB,Close,Close,,Barclays
79,,78_2491430053_Barclays,1859897363,OB,UCB,Close,Close,,Barclays
80,,80_2491430289_Barclays,1860076012,OB,UCB,Close,Close,,Barclays
81,,78_2491430289_Barclays,1860076020,OB,UCB,Close,Close,,Barclays
82,,81_2491430289_Barclays,1860076021,OB,UCB,Close,Close,,Barclays
83,,68_2491430289_Barclays,1860076014,OB,UCB,Close,Close,,Barclays
84,,87_2491430289_Barclays,1860076023,OB,UCB,Close,Close,,Barclays
85,,79_2491430289_Barclays,1860076015,OB,UCB,Close,Close,,Barclays
86,,88_2491430289_Barclays,1860076024,OB,UCB,Close,Close,,Barclays
87,,69_2491430289_Barclays,1860076016,OB,UCB,Close,Close,,Barclays
88,22_2491430317_Integrata,,1860081366,OB,UCB,Close,Close,,Barclays
89,23_2491430317_Integrata,,1860081367,OB,UCB,Close,Close,,Barclays
90,29_2491430317_Integrata,,1860081375,OB,UCB,Close,Close,,Barclays
91,21_2491430317_Integrata,,1860081364,OB,UCB,Close,Close,,Barclays
92,31_2491430317_Integrata,,1860081368,OB,UCB,Close,Close,,Barclays
93,27_2491430317_Integrata,,1860081373,OB,UCB,Close,Close,,Barclays
94,24_2491430317_Integrata,,1860081369,OB,UCB,Close,Close,,Barclays
95,30_2491430317_Integrata,,1860081365,OB,UCB,Close,Close,,Barclays
96,25_2491430317_Integrata,,1860081371,OB,UCB,Close,Close,,Barclays
97,32_2491430317_Integrata,,1860081370,OB,UCB,Close,Close,,Barclays
98,28_2491430317_Integrata,,1860081374,OB,UCB,Close,Close,,Barclays
99,33_2491430317_Integrata,,1860081372,OB,UCB,Close,Close,,Barclays
100,26_2491430317_Integrata,,1860081406,OB,UCB,Close,Close,,Barclays
101,20_2491430317_Integrata,,1860081395,OB,UCB,Close,Close,,Barclays
102,,24_2491430315_Barclays,1860081200,OB,UCB,Close,Close,,Barclays
103,,23_2491430317_Barclays,1860081428,OB,UCB,Close,Close,,Barclays
104,,55_2491430317_Barclays,1860081472,OB,UCB,Close,Close,,Barclays
