,Side0_UniqueIds,Side1_UniqueIds,BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment,custodian_val_to_use_comgen,first_non_null_breakid_in_breakid_columns
0,44_2491400081_Integrata,,1859772797,OB,UCB,Close,Close,,UBS,1859772797
1,100_2491400081_Integrata,,1859772815,OB,UCB,Close,Close,,UBS,1859772815
2,44_2491400067_Integrata,,1859769610,OB,UCB,Close,Close,,UBS,1859769610
3,100_2491400067_Integrata,,1859769598,OB,UCB,Close,Close,,UBS,1859769598
4,3_2491400067_Integrata,,1859769354,OB,UCB,Close,Close,,UBS,1859769354
5,3_2491400081_Integrata,,1859772553,OB,UCB,Close,Close,,UBS,1859772553
6,,227_2491400081_UBS,1859772802,OB,UCB,Close,Close,,UBS,1859772802
7,,227_2491400067_UBS,1859769631,OB,UCB,Close,Close,,UBS,1859769631
8,,197_2491400081_UBS,1859772559,OB,UCB,Close,Close,,UBS,1859772559
9,,240_2491400067_UBS,1859769374,OB,UCB,Close,Close,,UBS,1859769374
10,,240_2491400081_UBS,1859772572,OB,UCB,Close,Close,,UBS,1859772572
11,,238_2491400067_UBS,1859769373,OB,UCB,Close,Close,,UBS,1859769373
12,,238_2491400081_UBS,1859772571,OB,UCB,Close,Close,,UBS,1859772571
13,,179_2491400081_UBS,1859772804,OB,UCB,Close,Close,,UBS,1859772804
14,,179_2491400067_UBS,1859769611,OB,UCB,Close,Close,,UBS,1859769611
15,,237_2491400067_UBS,1859769376,OB,UCB,Close,Close,,UBS,1859769376
16,,197_2491400067_UBS,1859769368,OB,UCB,Close,Close,,UBS,1859769368
17,,237_2491400081_UBS,1859772575,OB,UCB,Close,Close,,UBS,1859772575
18,,228_2491400067_UBS,1859769630,OB,UCB,Close,Close,,UBS,1859769630
19,,228_2491400081_UBS,1859772820,OB,UCB,Close,Close,,UBS,1859772820
20,,229_2491400081_UBS,1859772811,OB,UCB,Close,Close,,UBS,1859772811
21,,236_2491400067_UBS,1859769372,OB,UCB,Close,Close,,UBS,1859769372
22,,231_2491400081_UBS,1859772832,OB,UCB,Close,Close,,UBS,1859772832
23,,236_2491400081_UBS,1859772569,OB,UCB,Close,Close,,UBS,1859772569
24,,231_2491400067_UBS,1859769633,OB,UCB,Close,Close,,UBS,1859769633
25,,229_2491400067_UBS,1859769629,OB,UCB,Close,Close,,UBS,1859769629
26,,180_2491400067_UBS,1859769623,OB,UCB,Close,Close,,UBS,1859769623
27,,180_2491400081_UBS,1859772807,OB,UCB,Close,Close,,UBS,1859772807
28,,86_2491400067_UBS,1859769357,OB,UCB,Close,Close,,UBS,1859769357
29,,86_2491400081_UBS,1859772556,OB,UCB,Close,Close,,UBS,1859772556
30,,241_2491400067_UBS,1859769378,OB,UCB,Close,Close,,UBS,1859769378
31,,241_2491400081_UBS,1859772577,OB,UCB,Close,Close,,UBS,1859772577
32,,224_2491400081_UBS,1859772827,OB,UCB,Close,Close,,UBS,1859772827
33,,234_2491400081_UBS,1859772574,OB,UCB,Close,Close,,UBS,1859772574
34,,224_2491400067_UBS,1859769616,OB,UCB,Close,Close,,UBS,1859769616
35,,234_2491400067_UBS,1859769360,OB,UCB,Close,Close,,UBS,1859769360
36,,235_2491400067_UBS,1859769365,OB,UCB,Close,Close,,UBS,1859769365
37,,235_2491400081_UBS,1859772570,OB,UCB,Close,Close,,UBS,1859772570
38,,77_2491400067_UBS,1859769619,OB,UCB,Close,Close,,UBS,1859769619
39,,71_2491400081_UBS,1859772806,OB,UCB,Close,Close,,UBS,1859772806
40,,71_2491400067_UBS,1859769602,OB,UCB,Close,Close,,UBS,1859769602
41,,84_2491400081_UBS,1859772558,OB,UCB,Close,Close,,UBS,1859772558
42,,85_2491400081_UBS,1859772566,OB,UCB,Close,Close,,UBS,1859772566
43,,85_2491400067_UBS,1859769375,OB,UCB,Close,Close,,UBS,1859769375
44,,77_2491400081_UBS,1859772822,OB,UCB,Close,Close,,UBS,1859772822
45,,74_2491400081_UBS,1859772817,OB,UCB,Close,Close,,UBS,1859772817
46,,74_2491400067_UBS,1859769620,OB,UCB,Close,Close,,UBS,1859769620
47,,72_2491400067_UBS,1859769609,OB,UCB,Close,Close,,UBS,1859769609
48,,72_2491400081_UBS,1859772808,OB,UCB,Close,Close,,UBS,1859772808
49,,73_2491400067_UBS,1859769615,OB,UCB,Close,Close,,UBS,1859769615
50,,73_2491400081_UBS,1859772810,OB,UCB,Close,Close,,UBS,1859772810
